iter	Passed	Remaining
155	3863	8518
156	3878	8473
157	3893	8426
158	3916	8398
159	3931	8354
160	3946	8310
161	3957	8257
162	3966	8201
163	3981	8156
164	3991	8104
165	4001	8051
166	4011	7999
167	4022	7949
168	4032	7898
169	4043	7848
170	4052	7797
171	4063	7748
172	4079	7710
173	4088	7660
174	4100	7615
175	4116	7577
176	4136	7549
177	4155	7516
178	4172	7483
179	4182	7436
180	4193	7391
181	4203	7345
182	4214	7300
183	4218	7244
184	4227	7197
185	4238	7154
186	4248	7111
187	4259	7068
188	4269	7024
189	4280	6983
190	4289	6940
191	4304	6905
192	4315	6864
193	4325	6822
194	4336	6782
195	4347	6742
196	4356	6700
197	4367	6661
198	4377	6621
199	4390	6585
200	4405	6553
201	4426	6529
202	4446	6504
203	4461	6473
204	4476	6441
205	4490	6409
206	4505	6377
207	4528	6357
208	4546	6330
209	4564	6303
210	4580	6273
211	4599	6247
212	4619	6224
213	4640	6202
214	4660	6177
215	4680	6153
216	4696	6125
217	4712	6095
218	4727	6065
219	4749	6045
220	4765	6015
221	4784	5990
222	4799	5961
223	4821	5940
224	4836	5911
225	4858	5890
226	4874	5861
227	4885	5828
228	4897	5796
229	4909	5763
230	4922	5732
231	4932	5697
232	4943	5665
233	4955	5633
234	4973	5608
235	4987	5579
236	5006	5555
237	5032	5540
238	5056	5521
239	5072	5494
240	5092	5472
241	5112	5450
242	5137	5433
243	5151	5404
244	5168	5379
245	5193	5362
246	5212	5339
247	5225	5310
248	5244	5286
249	5262	5262
250	5281	5239
251	5302	5218
252	5322	5196
253	5342	5174
254	5361	5151
255	5377	5125
256	5396	5102
257	5415	5079
258	5431	5053
259	5444	5025
260	5457	4997
261	5468	4967
262	5478	4936
263	5490	4908
264	5501	4878
265	5511	4848
266	5522	4819
267	5532	4789
268	5547	4764
269	5565	4740
270	5581	4716
271	5597	4692
272	5612	4666
273	5620	4636
274	5640	4614
275	5655	4590
276	5672	4566
277	5695	4548
278	5713	4525
279	5736	4507
280	5753	4483
281	5773	4463
282	5791	4440
283	5813	4421
284	5829	4397
285	5851	4378
286	5866	4354
287	5886	4333
288	5913	4317
289	5927	4292
290	5939	4265
291	5952	4240
292	5963	4213
293	5974	4186
294	5986	4160
295	6006	4139
296	6021	4115
297	6037	4092
298	6048	4065
299	6058	4039
300	6069	4012
301	6079	3986
302	6090	3960
303	6109	3939
304	6134	3922
305	6152	3900
306	6167	3877
307	6177	3850
308	6187	3824
309	6198	3799
310	6208	3772
311	6218	3747
312	6229	3722
313	6248	3701
314	6265	3679
315	6278	3655
316	6289	3630
317	6306	3609
318	6324	3588
319	6343	3568
320	6362	3547
321	6378	3526
322	6392	3503
323	6401	3477
324	6412	3453
325	6423	3428
326	6434	3404
327	6443	3379
328	6454	3354
329	6467	3331
330	6487	3312
331	6509	3293
332	6527	3273
333	6547	3254
334	6570	3236
335	6588	3215
336	6607	3195
337	6624	3175
338	6635	3151
339	6646	3127
340	6657	3104
341	6667	3080
342	6678	3056
343	6687	3032
344	6698	3009
345	6708	2986
346	6725	2965
347	6756	2951
348	6775	2931
349	6793	2911
350	6813	2892
351	6832	2872
352	6849	2852
353	6865	2831
354	6881	2810
355	6900	2791
356	6917	2770
357	6932	2749
358	6944	2727
359	6957	2705
360	6968	2683
361	6985	2663
362	7003	2643
363	7021	2623
364	7045	2605
365	7067	2587
366	7094	2570
367	7118	2553
368	7129	2531
369	7140	2508
370	7154	2487
371	7166	2465
372	7176	2443
373	7190	2422
374	7205	2401
375	7220	2381
376	7237	2361
377	7259	2342
378	7276	2323
379	7298	2304
380	7315	2284
381	7333	2265
382	7352	2246
383	7370	2226
384	7385	2206
385	7416	2190
386	7431	2169
387	7471	2156
388	7489	2136
389	7507	2117
390	7523	2097
391	7544	2078
392	7563	2059
393	7591	2042
394	7620	2025
395	7648	2008
396	7671	1990
397	7684	1969
398	7694	1947
399	7706	1926
400	7717	1905
401	7729	1884
402	7739	1862
403	7750	1841
404	7760	1820
405	7771	1799
406	7783	1778
407	7814	1762
408	7835	1743
409	7857	1724
410	7876	1705
411	7901	1687
412	7920	1668
413	7942	1649
414	7960	1630
415	7980	1611
416	7995	1591
417	8011	1571
418	8029	1552
419	8049	1533
420	8068	1514
421	8090	1495
422	8109	1476
423	8124	1456
424	8142	1436
425	8157	1417
426	8173	1397
427	8193	1378
428	8212	1359
429	8230	1339
430	8251	1320
431	8273	1302
432	8293	1283
433	8309	1263
434	8328	1244
435	8344	1224
436	8360	1205
437	8377	1185
438	8399	1167
439	8416	1147
440	8430	1127
441	8448	1108
442	8466	1089
443	8482	1069
444	8498	1050
445	8514	1030
446	8531	1011
447	8552	992
448	8570	973
449	8597	955
450	8627	937
451	8657	919
452	8683	900
453	8701	881
454	8720	862
455	8735	842
456	8753	823
457	8771	804
458	8788	784
459	8803	765
460	8822	746
461	8845	727
462	8866	708
463	8893	690
464	8927	671
465	8952	653
466	8964	633
467	8976	613
468	8986	593
469	8997	574
470	9008	554
471	9017	534
472	9028	515
473	9038	495
474	9048	476
475	9064	457
476	9080	437
477	9099	418
478	9119	399
479	9137	380
480	9155	361
481	9170	342
482	9185	323
483	9201	304
484	9217	285
485	9233	265
486	9252	246
487	9269	227
488	9273	208
489	9294	189
490	9312	170
491	9329	151
492	9338	132
493	9358	113
494	9375	94
495	9396	75
496	9412	56
497	9435	37
498	9450	18
499	9465	0
